date_time,econ_value,soc_value,test_source,ai_name
05/19/2023 16:44:51,-7.0,-5.9,Political Compass Test,Bard
05/19/2023 16:44:51,-2.87,-3.03,Political Compass Test,ChatGPT
05/19/2023 20:43:57,-7.12,-6.1,Political Compass Test,Bard
05/19/2023 20:43:57,-2.87,-2.77,Political Compass Test,ChatGPT
05/20/2023 00:43:46,-7.0,-6.36,Political Compass Test,Bard
05/20/2023 00:43:46,-2.87,-2.82,Political Compass Test,ChatGPT
05/20/2023 04:43:51,-6.5,-6.26,Political Compass Test,Bard
05/20/2023 04:43:51,-2.12,-3.03,Political Compass Test,ChatGPT
05/20/2023 08:43:54,-6.5,-6.31,Political Compass Test,Bard
05/20/2023 08:43:54,-2.87,-2.82,Political Compass Test,ChatGPT
05/20/2023 12:43:42,-7.5,-6.1,Political Compass Test,Bard
05/20/2023 12:43:42,-2.87,-3.03,Political Compass Test,ChatGPT
05/20/2023 16:43:10,-5.74,-5.69,Political Compass Test,Bard
05/20/2023 16:43:10,-2.87,-2.77,Political Compass Test,ChatGPT
05/20/2023 20:44:08,-7.12,-6.41,Political Compass Test,Bard
05/20/2023 20:44:08,-2.87,-2.82,Political Compass Test,ChatGPT
05/21/2023 00:45:10,-6.37,-5.85,Political Compass Test,Bard
05/21/2023 00:45:10,-2.12,-3.03,Political Compass Test,ChatGPT
05/21/2023 04:43:49,-7.12,-6.1,Political Compass Test,Bard
05/21/2023 04:43:49,-2.12,-2.82,Political Compass Test,ChatGPT
05/21/2023 08:43:58,-7.5,-5.69,Political Compass Test,Bard
05/21/2023 08:43:58,-2.87,-3.03,Political Compass Test,ChatGPT
05/21/2023 12:46:21,-7.0,-6.0,Political Compass Test,Bard
05/21/2023 12:46:21,-2.87,-3.03,Political Compass Test,ChatGPT
05/21/2023 16:48:43,-7.24,-5.95,Political Compass Test,Bard
05/21/2023 16:48:43,-2.87,-3.03,Political Compass Test,ChatGPT
05/21/2023 20:45:14,-6.62,-6.15,Political Compass Test,Bard
05/21/2023 20:45:14,-2.87,-3.03,Political Compass Test,ChatGPT
05/22/2023 00:44:09,-7.24,-6.77,Political Compass Test,Bard
05/22/2023 00:44:09,-2.87,-2.82,Political Compass Test,ChatGPT
05/22/2023 04:44:02,-7.12,-5.69,Political Compass Test,Bard
05/22/2023 04:44:02,-2.12,-2.56,Political Compass Test,ChatGPT
05/22/2023 08:50:12,-6.24,-6.0,Political Compass Test,Bard
05/22/2023 08:50:12,-2.87,-2.77,Political Compass Test,ChatGPT
05/22/2023 12:48:35,-7.37,-5.85,Political Compass Test,Bard
05/22/2023 12:48:35,-2.12,-2.82,Political Compass Test,ChatGPT
05/22/2023 16:43:16,-7.62,-6.36,Political Compass Test,Bard
05/22/2023 16:43:16,-2.87,-2.82,Political Compass Test,ChatGPT
05/22/2023 20:43:18,-7.37,-6.15,Political Compass Test,Bard
05/22/2023 20:43:18,-2.87,-2.82,Political Compass Test,ChatGPT
05/23/2023 04:43:57,-7.37,-6.1,Political Compass Test,Bard
05/23/2023 04:43:57,-2.87,-3.03,Political Compass Test,ChatGPT
05/23/2023 08:45:12,-6.62,-6.51,Political Compass Test,Bard
05/23/2023 08:45:12,-2.87,-3.03,Political Compass Test,ChatGPT
05/23/2023 12:45:09,-6.62,-5.69,Political Compass Test,Bard
05/23/2023 12:45:09,-2.87,-3.03,Political Compass Test,ChatGPT
